pid,product_name,product_category_tree,retail_price,discounted_price,image,description,brand,product_specifications,section,category,subcategory1,subcategory2,subcategory3,subcategory4,bias,sale_percentage,tags
HK34118,Stainless Potato and Vegetable Masher,Home & Kitchen >> Kitchen & Dining >> Kitchen Tools & Gadgets >> Fruit & Vegetable Tools >> Mashers & Ricers,449,89,"[""https://m.media-amazon.com/images/I/31R+zHQ1K8L.jpg""]",The Stainless Potato and Vegetable Masher is designed for mashing potatoes and vegetables effortlessly.,Ganesh,"{""product_specification"": [{ ""Material"":""Stainless Steel""}, { ""Color"":""Assorted""}, { ""Brand"":""GANESH""}, { ""Product Dimensions"":""10L x 10W Millimeters""}, { ""Item Weight"":""90 Grams""}]}",Home & Kitchen,Kitchen & Dining,Kitchen Tools & Gadgets,Fruit & Vegetable Tools,Mashers & Ricers,,A,80.17817372,
HK42939,Ganesh Plastic Fruit and Vegetable Juicer,Home & Kitchen >> Kitchen & Dining >> Kitchen Tools & Gadgets >> Fruit & Vegetable Tools >> Manual Juicers,1071,380,"[""https://m.media-amazon.com/images/I/71LxjXbN--L.SX679.jpg""]",The Ganesh Plastic Fruit and Vegetable Juicer is designed to extract juice from fruits and vegetables manually.,Ganesh,"{""product_specification"": [{ ""Material"":""Plastic""}, { ""Color"":""Blue""}, { ""Special Feature"":""Filter""}, { ""Product Dimensions"":""16D x 16W x 30H Centimeters""}, { ""Recommended Uses For Product"":""Orange""}]}",Home & Kitchen,Kitchen & Dining,Kitchen Tools & Gadgets,Fruit & Vegetable Tools,Manual Juicers,,A,64.51914099,"[""#summer""]"
HK51349,Wonderchef Stainless Coconut Scraper,Home & Kitchen >> Kitchen & Dining >> Kitchen Tools & Gadgets >> Fruit & Vegetable Tools >> Graters & Slicers >> Coconut Scrapers,500,299,"[""https://m.media-amazon.com/images/I/51Pk-Fi5PuL._SX679_.jpg""]",The Wonderchef Stainless Coconut Scraper is designed for scraping coconuts efficiently.,Wonderchef,"{""product_specification"": [{ ""Material"":""Stainless Steel""}, { ""Brand"":""Wonderchef""}, { ""Style"":""Casual""}, { ""Product Dimensions"":""12L x 10W x 17H Centimeters""}]}",Home & Kitchen,Kitchen & Dining,Kitchen Tools & Gadgets,Fruit & Vegetable Tools,Graters & Slicers,Coconut Scrapers,A,40.2,
HK23601,Signoraware Lemon Squeezer,Home & Kitchen >> Kitchen & Dining >> Kitchen Tools & Gadgets >> Fruit & Vegetable Tools >> Citrus Juicers,220,174,"[""https://m.media-amazon.com/images/I/61WMEPdgViL._SX679_.jpg""]",The Signoraware Lemon Squeezer is designed for squeezing lemons and extracting juice effortlessly.,Signoraware,"{""product_specification"": [{ ""Material"":""Stainless Steel""}, { ""Color"":""Silver""}, { ""Special Feature"":""Airtight, Easy to use""}, { ""Product Dimensions"":""1.4D x 16W x 12H Centimeters""}]}",Home & Kitchen,Kitchen & Dining,Kitchen Tools & Gadgets,Fruit & Vegetable Tools,Citrus Juicers,,A,20.90909091,"[""#summer""]"
HK53402,OrganizeMee Stainless Steel Chopping Board,Home & Kitchen >> Kitchen & Dining >> Kitchen Tools & Gadgets >> Cutting Boards,1299,489,"[""https://m.media-amazon.com/images/I/818vIH1minL._SX679_.jpg""]",The OrganizeMee Stainless Steel Chopping Board is designed for cutting and chopping vegetables. It is made of stainless steel.,OrganizeMee,"{""product_specification"": [{ ""Material"":""Plastic, Metal""}, { ""Color"":""Silver""}, { ""Product Dimensions"":""31L x 21W x 1Th Centimeters""}, { ""Shape"":""Rectangular""}, { ""Product Care Instructions"":""Dishwasher Safe""}]}",Home & Kitchen,Kitchen & Dining,Kitchen Tools & Gadgets,Cutting Boards,,,A,62.3556582,
HK42720,Kuber Industries Cutting Board,Home & Kitchen >> Kitchen & Dining >> Kitchen Tools & Gadgets >> Cutting Boards,249,249,"[""https://m.media-amazon.com/images/I/61+IYIgAruL._SX679_.jpg""]","The Kuber Industries Cutting Board is designed for chopping and cutting vegetables and fruits. It is made of lightweight and non-porous wood, dishwasher safe.",Kuber Industries,"{""product_specification"": [{ ""Colour"":""Brown""}, { ""Product Dimensions"":""30L x 21W x 2Th Centimeters""}, { ""Material"":""Wood""}, { ""Recommended Uses For Product"":""Vegetable , Fruits""}, { ""Shape"":""Rectangular""}, { ""Product Care Instructions"":""Dishwasher Safe""}, { ""Special Feature"":""Lightweight, Non Porous""}, { ""Included Components"":""1 Piece Wooden Chopping Board""}, { ""Item Weight"":""150 g""}]}",Home & Kitchen,Kitchen & Dining,Kitchen Tools & Gadgets,Cutting Boards,,,A,0,
HK28828,Bulfyss Chopping Board,Home & Kitchen >> Kitchen & Dining >> Kitchen Tools & Gadgets >> Cutting Boards,999,458,"[""https://m.media-amazon.com/images/I/71ho+7fuv6L._SX679_.jpg""]",The Bulfyss Chopping Board is designed for chopping vegetables. It is eco-friendly and made of natural bamboo.,Bulfyss,"{""product_specification"": [{ ""Brand"":""Bulfyss""}, { ""Colour"":""Natural Bamboo""}, { ""Product Dimensions"":""34L x 24W x 2Th Centimeters""}, { ""Material"":""Bamboo""}, { ""Recommended Uses For Product"":""Vegetable""}, { ""Shape"":""Rectangular""}, { ""Product Care Instructions"":""Clean with mild soap and water; dry thoroughly. Do not submerge in water to extend life of the boards""}, { ""Special Feature"":""Eco-Friendly""}, { ""Included Components"":""Chopping Board""}, { ""Item Weight"":""100 Grams""}]}",Home & Kitchen,Kitchen & Dining,Kitchen Tools & Gadgets,Cutting Boards,,,A,54.15415415,
HK92894,Ganesh Vegetable Dicer,Home & Kitchen >> Kitchen & Dining >> Kitchen Tools & Gadgets >> Choppers >> Vegetable Choppers,1190,635,"[""https://m.media-amazon.com/images/I/71BJcLro13L._SX679_.jpg""]",The Ganesh Vegetable Dicer is designed to efficiently dice vegetables with its cutting blades.,Ganesh,"{""product_specification"": [{ ""Material"":""Plastic""}, { ""Color"":""Green""}, { ""Special Feature"":""Dishwasher-Safe""}, { ""Recommended Uses For Product"":""Vegetable""}, { ""Product Care Instructions"":""Dishwasher Safe""}, { ""Product Dimensions"":""29.5L x 10.8W x 12.8H Centimeters""}, { ""Blade Material"":""Stainless Steel""}, { ""Item Weight"":""920 Grams""}, { ""Blade Length"":""14 Inches""}]}",Home & Kitchen,Kitchen & Dining,Kitchen Tools & Gadgets,Choppers,Vegetable Choppers,,A,46.63865546,
HK99744,Butterfly Premium Vegetable Chopper,Home & Kitchen >> Kitchen & Dining >> Kitchen Tools & Gadgets >> Choppers >> Vegetable Choppers,1383,370,"[""https://m.media-amazon.com/images/I/61fPH47Hd0L._SX679_.jpg""]",The Butterfly Premium Vegetable Chopper is designed to make chopping vegetables quick and easy. It comes in blue color and offers efficient chopping for various vegetables.,Butterfly,"{""product_specification"": [{ ""Material"":""Plastic""}, { ""Colour"":""Blue""}, { ""Special Feature"":""Manual""}, { ""Recommended Uses For Product"":""Chop""}, { ""Product Care Instructions"":""Dishwasher Safe""}, { ""Blade Material"":""Stainless Steel""}, { ""Item Weight"":""0.6 Pounds""}, { ""Blade Length"":""3.5 Centimetres""}, { ""Blade Shape"":""Square""}]}",Home & Kitchen,Kitchen & Dining,Kitchen Tools & Gadgets,Choppers,Vegetable Choppers,,A,73.24656544,
HK16543,"Meat Chopper, Hamburger Chopper Utensil, Professional Heat Resistant Nylon, Masher & Smasher Meat, Potato Masher Ground Beef & Turkey -Non Stick Mix Chopper for Kitchen Tool",Home & Kitchen >> Kitchen & Dining >> Kitchen Tools & Gadgets >> Choppers >> Meat Choppers,496,411,"[""https://m.media-amazon.com/images/I/41eH9ANvOML._AC_US100_.jpg"",""https://m.media-amazon.com/images/I/41mdtsEI2tS._AC_US100_.jpg"",""https://m.media-amazon.com/images/I/515Ylv-vt+S._AC_US100_.jpg"",""https://m.media-amazon.com/images/I/51pFTt-B2nS._AC_US100_.jpg""]","Introducing our versatile Ground Meat Chopper - designed with a 5-blade head for effortlessly breaking up ground meat mixes and mashing softer cooked foods. Made from heat-resistant food-grade nylon, it's safe for all cookware types. Easy to use and clean, with a full money-back guarantee for your satisfaction.",MIWEVRO,"{""product_specification"": [{""Material"":""Nylon""}, {""Color"":""Black""}, {""Brand"":""MIWEVRO""}, {""Product Dimensions"":""11.02\""L x 2.44\""W""}, {""Is Dishwasher Safe"":""Yes""}]}",Home & Kitchen,Kitchen & Dining,Kitchen Utensils & Gadgets,Meat Choppers,,,A,17.13709677,
HK62229,Oliveware Stainless Steel Lunch Box,Home & Kitchen >> Kitchen & Dining >> Kitchen Storage & Containers >> Lunch Boxes >> Oliveware Lunch Boxes,1950,825,"[""https://m.media-amazon.com/images/I/71zj7ULiR+L._SX679_.jpg""]","The Oliveware Stainless Steel Lunch Box is designed for office and college use. It features airtight compartments, freezer safe, microwave safe, and dishwasher safe properties.",OLIVEWARE,"{""product_specification"": [{ ""Material"":""Stainless Steel""}, { ""Color"":""BLUE""}, { ""Recommended Uses For Product"":""Office, College""}, { ""Age Range (Description)"":""Adult""}, { ""Special Feature"":""Airtight, Freezer Safe, Microwave Safe, Dishwasher Safe""}, { ""Capacity"":""1340 Milliliters""}, { ""Theme"":""Alphabet""}, { ""Pattern"":""Teso Pro""}, { ""Item Weight"":""880 Grams""}]}",Home & Kitchen,Kitchen & Dining,Kitchen Storage & Containers,Lunch Boxes,Oliveware Lunch Boxes,,A,57.69230769,
HK29859,Milton Stainless Steel Lunch Box,Home & Kitchen >> Kitchen & Dining >> Kitchen Storage & Containers >> Lunch Boxes >> Milton Lunch Boxes,1999,849,"[""https://m.media-amazon.com/images/I/81UWU74XpbL._SX679_.jpg""]","The Milton Stainless Steel Lunch Box is designed for office, travel, and school use. It features leak-resistant and airtight properties.",MILTON,"{""product_specification"": [{ ""Material"":""Stainless Steel, Plastic""}, { ""Color"":""Black""}, { ""Recommended Uses For Product"":""Office, Travel, School""}, { ""Age Range (Description)"":""Adult""}, { ""Special Feature"":""Leak Resistant,Microwave Safe,Airtight""}, { ""Capacity"":""450 Milliliters""}, { ""Theme"":""Car""}, { ""Pattern"":""NO""}, { ""Item Weight"":""0.95 Kilograms""}]}",Home & Kitchen,Kitchen & Dining,Kitchen Storage & Containers,Lunch Boxes,Milton Lunch Boxes,,A,57.52876438,"[""#office""]"
HK23308,Promixx PURSUIT Protein Shaker Bottle – Premium Sports Blender Bottles for Protein Mixes,Home & Kitchen >> Home Furnishing >> Water Bottles >> Plastic Water Bottles,1076,772,"[""https://m.media-amazon.com/images/I/31Y45fl0HfL._AC_US100_.jpg"",""https://m.media-amazon.com/images/I/41QyIjZREXL._AC_US100_.jpg"",""https://m.media-amazon.com/images/I/4151ebXhwJL._AC_US100_.jpg"",""https://m.media-amazon.com/images/I/21OFNdFN4oL._AC_US100_.jpg""]","The PROMiXX PURSUIT Protein Shaker Bottle sets a new standard in protein shaker design and performance. Engineered with premium materials and pioneering technology, this shaker ensures smooth and clump-free shakes every time, without the need for noisy shaker balls. Its seductively silent operation makes it perfect for use anytime, anywhere. ",Promixx,"{""product_specification"": [{""Brand"":""Promixx""}, {""Material"":""Ecozen""}, {""Bottle Type"":""Blender Bottles""}, {""Color"":""Graphite Grey""}, {""Capacity"":""1.6 Pounds""}, {""Special Feature"":""Dishwasher Safe""}, {""Age Range"":""Adult""}, {""Product Dimensions"":""3.4\""W x 8\""H""}, {""Product Care Instructions"":""Fridge Safe""}, {""Model Name"":""US-PRO-P-S1-700SHAKER-GG""}, {""Recommended Uses For Product"":""Sports Water Bottle""}, {""Number of Items"":""1""}, {""Theme"":""Sport""}, {""Reusability"":""Reusable""}, {""Item Weight"":""4.9 ounces""}]}",Home & Kitchen,Home Furnishing,Water Bottles,Plastic Water Bottles,,,A,28.2527881,"[""#sports""]"
HK64469,Zepdos Stainless Steel Cutlery Organizer,Home & Kitchen >> Kitchen & Dining >> Kitchen Storage & Containers >> Flatware Organizers >> Zepdos Cutlery Organizers,999,375,"[""https://m.media-amazon.com/images/I/61QIn61EIHL._SX679_.jpg""]",The Zepdos Stainless Steel Cutlery Organizer is designed to keep your utensils organized.,Zepdos,"{""product_specification"": [{ ""Material"":""Stainless Steel""}, { ""Color"":""Silver""}, { ""Special Feature"":""Space Saver Kitchen Organiser""}, { ""Product Dimensions"":""42D x 10W x 10H Centimeters""}, { ""Shelf Type"":""Tiered Shelf""}]}",Home & Kitchen,Kitchen & Dining,Kitchen Storage & Containers,Flatware Organizers,,,A,62.46246246,
HK28902,Butterfly Smart Glass Burner Stove,Home & Kitchen >> Kitchen & Dining >> Gas Stoves & Hobs >> Hobs,4995,2199,"[""https://m.media-amazon.com/images/I/51laitshu2L._SX679_.jpg""]",The Butterfly Smart Glass Burner Stove is a sleek and modern stove with a glass top. It is suitable for cooking.,Butterfly,"{""product_specification"": [{ ""Material"":""Glass""}, { ""Product Dimensions"":""60L x 29W x 11H Centimeters""}, { ""Power Source"":""Gas Powered""}, { ""Item Weight"":""5100 Grams""}]}",Home & Kitchen,Kitchen & Dining,Gas Stoves & Hobs,Hobs,,,A,55.97597598,
HK49124,Lifelong LLGS10 Gas Stove,Home & Kitchen >> Kitchen & Dining >> Gas Stoves & Hobs >> Gas Stoves,4350,1399,"[""https://m.media-amazon.com/images/I/71Q5pFUtYmL._SX679_.jpg""]",The Lifelong LLGS10 Gas Stove features a stainless steel body and comes with 2 years warranty.,Lifelong,"{""product_specification"": [{ ""Material"":""Glass""}, { ""Brand"":""Lifelong""}, { ""Special Feature"":""Manual""}, { ""Heating Elements"":""2""}]}",Home & Kitchen,Kitchen & Dining,Gas Stoves & Hobs,Gas Stoves,,,A,67.83908046,
HK84258,"Stainless Steel Premium Milk Pot Milk Boiler Milk Cooker Double Wall with Whistle and Funnel, 1 Litre, Silver",Home & Kitchen >> Kitchen & Dining >> Cookware >> Stovetop Tea Kettles,3729,2900,"[""https://m.media-amazon.com/images/I/31YatePEJfL._AC_US100_.jpg"",""https://m.media-amazon.com/images/I/31aY+kbJpJL._AC_US100_.jpg"",""https://m.media-amazon.com/images/I/31bND4dmrLL._AC_US100_.jpg"",""https://m.media-amazon.com/images/I/41cRXHVN+GL._AC_US100_.jpg""]","This Stainless Steel Premium Milk Pot is a versatile kitchen essential designed for heating and boiling milk. It features a double-wall construction for efficient heat retention and durability. The pot is equipped with a whistle that releases steam when the milk is heated, preventing spillage and ensuring safety. With a capacity of 1 liter, it is suitable for everyday use in households. ",Butterfly,"{""product_specification"": [{""Material"":""Stainless Steel""}, {""Finish Type"":""Non-Stick""}, {""Brand"":""Butterfly""}, {""Color"":""Silver""}, {""Capacity"":""1 Liters""}, {""Product Dimensions"":""5\""D x 5\""W x 5\""H""}, {""Item Weight"":""651 Grams""}, {""Is Oven Safe"":""No""}]}",Home & Kitchen,Kitchen & Dining,Cookware,Stovetop Tea Kettles,,,A,22.23116117,
HK59077,"Hawkins CXT30 Contura Hard Anodized Induction Compatible Extra Thick Base Pressure Cooker, Black",Home & Kitchen >> Kitchen & Dining >> Cookware >> Pressure Cookers,3495,3316,"[""https://m.media-amazon.com/images/I/41yd0+irfkL._AC_US100_.jpg"",""https://m.media-amazon.com/images/I/51kivLjvtBL._AC_US100_.jpg"",""https://m.media-amazon.com/images/I/51aD34GHBBL._AC_US100_.jpg"",""https://m.media-amazon.com/images/I/51U3IPukrzL._AC_US100_.jpg""]","The Induction Compatible Hawkins Contura Black XT Pressure Cooker has all the features of the Hawkins Contura Black Pressure Cooker. Additionally, permanently attached to the 4.88 mm thick base is a plate of AISI 430 grade magnetic stainless steel which makes the cooker Induction Compatible. ",HAWKINS,"{""product_specification"": [{""Brand"":""HAWKINS""}, {""Capacity"":""3 Liters""}, {""Material"":""Aluminum""}, {""Color"":""Black""}, {""Finish Type"":""Metallic""}, {""Special Feature"":""Gas Stovetop Compatible, Electric Stovetop Compatible, Induction Stovetop Compatible""}, {""Wattage"":""1000 watts""}, {""Item Weight"":""3 Pounds""}, {""Control Method"":""Touch""}]}",Home & Kitchen,Kitchen & Dining,Cookware,Pressure Cookers,,,A,5.121602289,
HK58580,Stainless Steel 3-Liter Curve Pressure Cooker,Home & Kitchen >> Kitchen & Dining >> Cookware >> Pressure Cookers,4560,4211,"[""https://m.media-amazon.com/images/I/417Iu47GNmL._AC_US100_.jpg"",""https://m.media-amazon.com/images/I/31G0+u6AQHL._AC_US100_.jpg"",""https://m.media-amazon.com/images/I/414ouZrTdDL._AC_US100_.jpg"",""https://m.media-amazon.com/images/I/41JYeFMA9rL._AC_US100_.jpg""]",Induction hob compatible. Safety value. Gasket release vent (GRV). Body and lid made of premium quality stainless Steel. Unique Bulged Shape Ergonomically designed handle. Stainless steel capsule bottom. Dish washer safe.Specially formulated food -grade rubber gasket for longer life and Gasket release system for safety,Butterfly,"{""product_specification"": [{""Brand"":""Butterfly""}, {""Capacity"":""3 Liters""}, {""Color"":""Stainless Steel""}, {""Finish Type"":""Stainless Steel""}, {""Special Feature"":""Locking Lid, Induction Compatible Base""}, {""Wattage"":""500 watts""}, {""Item Weight"":""990 Grams""}, {""Control Method"":""Touch""}, {""Controller Type"":""Hand Control, Mechanical knob""}, {""Operation Mode"":""Manual""}]}",Home & Kitchen,Kitchen & Dining,Cookware,Pressure Cookers,,,A,7.653508772,
HK77876,Pigeon Silver-Toned & Black Special Inner Lid Aluminum Pressure Cooker - 3 L,Home & Kitchen >> Kitchen & Dining >> Cookware >> Pressure Cookers,1395,695,"[""https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/26426512/2023/12/15/d817b7e6-fdd0-4387-aac6-1acd61a8224d1702619751677PigeonUnisexSilverCookware1.jpg""]",Silver-toned and black pressure cooker made of aluminum. It has a capacity of 3 liters and features a special inner lid. Dimensions:33.2 cm x 18.5 cm x 17.3 cm (Length x Width x Height). Dishwasher safe.,Pigeon,"{""product_specification"": [{""Set Content"":""1 Pressure Cooker""}, {""Color"":""Silver-Toned & Black""}, {""Material"":""Aluminium""}, {""Dimension"":""33.2 cm x 18.5 cm x 17.3 cm (Length x Width x Height)""}, {""Capacity"":""3 L""}, {""Features"":""Dishwasher Safe""}, {""Material & Care"":""Aluminium. Wash with soap and rinse off with clean water.""}, {""Type"":""Pressure Cooker""}]}",Home & Kitchen,Kitchen & Dining,Cookware,Pressure Cookers,,,A,50.17921147,
